keywords_count,lines,file
411,4750,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/MainForm.cs
394,4175,maps/DotNet/Maps/StandaloneUnity/Unity/RenderPipelines.HD/HlslDerivatives/HlslGenerator.cs
258,4653,maps/DotNet/Maps/StandaloneUnity/Unity/RenderPipelines.HD/HlslDerivatives/PartialDerivUtilWriter.cs
250,1595,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Atari/2600/Tia/TIA.cs
232,1970,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/GBHawk/GBC_GB_PPU.cs
223,1916,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/GBHawk/GBC_PPU.cs
201,2248,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/tools/HexEditor/HexEditor.cs
201,1693,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Magnavox/Odyssey2/PPU.cs
188,2948,maps/DotNet/Maps/StandaloneUnity/Unity/RenderPipelines.HD/HlslDerivatives/HlslParser.cs
187,1443,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/tools/TAStudio/TAStudio.ListView.cs
186,2103,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/CustomControls/InputRoll/InputRoll.cs
178,1480,maps/DotNet/Maps/BizHawk/waterbox/mame-arcade/mame/3rdparty/lzma/CS/7zip/Compress/LZMA/LzmaEncoder.cs
176,2814,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Computers/SinclairSpectrum/Hardware/Disk/NECUPD765.FDC.cs
175,6516,maps/DotNet/Maps/StandaloneUnity/Unity/Collections/FixedList.gen.cs
172,3147,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/CPUs/MOS 6502X/Execute.cs
170,1864,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Sound/YM2413.cs
168,2786,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Computers/AmstradCPC/Hardware/Disk/NECUPD765.FDC.cs
166,1304,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/GBHawk/GB_PPU.cs
158,1250,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/GBHawk/Audio.cs
156,2495,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/CPUs/HuC6280/Execute.cs
154,1388,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/tools/SNES/SNESGraphicsDebugger.cs
135,1127,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/GBHawkLink4x/GBHawkLink4x.IEmulator.cs
126,1476,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/NES/APU.cs
121,1173,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/NES/NES.Core.cs
121,1068,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/NES/PPU.run.cs
120,683,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Sega/SMS/SMSControllers.cs
119,834,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/tools/GBA/GBAGPUView.cs
115,1508,maps/DotNet/Maps/LiteDB/LiteDB/Document/Expression/Parser/BsonExpressionParser.cs
114,1659,maps/DotNet/Maps/StandaloneUnity/Unity/RenderPipelines.HD/HlslDerivatives/HlslTokenizer.cs
113,1646,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/MainForm.Events.cs
112,1254,maps/DotNet/Maps/BizHawk/src/BizHawk.Common/Serializer.cs
112,1249,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/tools/Lua/Libraries/FormsLuaLibrary.cs
110,1539,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/tools/Lua/LuaConsole.cs
108,1205,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Sony/PSX/Octoshock.cs
108,878,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Intellivision/STIC.cs
106,2223,maps/DotNet/Maps/BizHawk/ExternalCoreProjects/Virtu/Memory.cs
105,1555,maps/DotNet/Maps/BizHawk/ExternalProjects/NLua/src/Metatables.cs
100,8161,maps/DotNet/Maps/StandaloneUnity/Unity/Collections/FixedString.gen.cs
100,2978,maps/DotNet/Maps/rd/rd-kt/rd-gen/src/test/resources/testData/exampleModelTest/asis/ExampleModelNova.cs
100,2978,maps/DotNet/Maps/rd/rd-kt/rd-gen/src/test/resources/testData/exampleModelTest/reversed/ExampleModelNova.cs
100,1366,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/tools/TAStudio/TAStudio.MenuItems.cs
99,600,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/GBHawk/MemoryMap.cs
98,1684,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/tools/Watch/RamSearch.cs
95,1119,maps/DotNet/Maps/rd/rd-net/Lifetimes/Lifetimes/LifetimeDefinition.cs
95,928,maps/DotNet/Maps/advanced-algorithms/src/Advanced.Algorithms/DataStructures/Tree/B+Tree.cs
91,245,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Computers/MSX/MSX.IEmulator.cs
90,1257,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/CPUs/68000/Instructions/BitArithemetic.cs
86,839,maps/DotNet/Maps/C-Sharp-Algorithms/DataStructures/Lists/DLinkedList_KeyValue.cs
86,839,maps/DotNet/Maps/thirdparty/C-Sharp-Algorithms/DataStructures/Lists/DLinkedList_KeyValue.cs
85,2005,maps/DotNet/Maps/StandaloneUnity/Unity/RenderPipelines.HD/HlslDerivatives/HlslTree.cs
85,1227,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/tools/TAStudio/TAStudio.cs
84,3117,maps/DotNet/Maps/StandaloneUnity/Unity/Sse2.cs
84,907,maps/DotNet/Maps/C-Sharp-Algorithms/DataStructures/Lists/DLinkedList.cs
84,907,maps/DotNet/Maps/thirdparty/C-Sharp-Algorithms/DataStructures/Lists/DLinkedList.cs
83,503,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Calculators/TI83/TI83.cs
81,631,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/GCE/Vectrex/HW_Registers.cs
80,1728,maps/DotNet/Maps/StandaloneUnity/Unity/Collections/UnsafeParallelHashMap.cs
80,1280,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/tools/Watch/RamWatch.cs
80,853,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/tools/NES/NESPPU.cs
